;;;;Cliente;;;;;;;;FALSO;;;;;;;;;;;;;;ESTOQUES DE VOLTAS ARREDONDADAS;;;;;;;;
Código;pares;OC;Recebimento;Entrega;Referencia;Tamanho;metros;Agrupado;Total;;;cor;cor;cor;cor;;peso;peso;peso;peso;;;;METROS;;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;URDIDEIRA 4;URDIDEIRA 1 - 2 - 3;NOVA METRAGEM;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;138;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;139;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;140;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;141;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;142;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;143;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;144;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;145;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;146;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;147;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;148;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;149;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;150;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;151;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;152;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;153;;;0;;0;0;300;300;255;;;;
 ; ; ; ; ; ;#ERRO;#ERRO;;0;251175;;;;;;;#ERRO;#ERRO;#ERRO;#ERRO;154;;;0;;0;0;300;300;255;;;;
