15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC 11628 100 7MM;40;100;;;;;;;;;100;11628;7MM;OK;OK;OK;0
ATAC 3000 102 3MM;16;2;102;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 14163 199/100 6MM;1 . 52 . 3;199 , 100 , 199;;;;;;;;;199/100;14163;6MM;OK;OK;OK;0
ATAC 11628 115 7MM;40;115;;;;;;;;;115;11628;7MM;OK;OK;OK;0
ATAC 11628 243 7MM;40;243;;;;;;;;;243;11628;7MM;OK;OK;OK;0
ATAC 3000 004 3MM;16;2;4;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 270 7MM;40;270;;;;;;;;;270;11628;7MM;OK;OK;OK;0
ATAC 11628 004 7MM;40;4;;;;;;;;;4;11628;7MM;OK;OK;OK;0
ATAC 11628 005 7MM;40;5;;;;;;;;;5;11628;7MM;OK;OK;OK;0
ELASTICO 16410 115 7MM;20;115;;;;;;;;;115;16410;7MM;OK;OK;OK;0
FITA MDP 2T 746/1P NAVY 15MM;108;746/1P;;;;;;;;;746/1P;MDP;15MM;OK;OK;OK;0
ATAC M18006 100;32;3;100;;3;100;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M6034 2000 8MM;48;2;2000;;;;M6034;8MM;1x1;;;;1200;570;CONFERIDO 17/07/2020;;0
ATAC 14163 030 6MM;46;30;;;;;;;;;30;14163;6MM;OK;OK;OK;0
ATAC M6034 2001 8MM;48;2;2001;;;;M6034;8MM;1x1;;;;1200;570;CONFERIDO 17/07/2020;;0
FITA MDP 2T 100/1P 15MM;108;100/1P;;;;;;;;;100/1P;MDP;15MM;OK;OK;OK;0
ATAC 3000 001 3MM;16;2;1;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 253 3MM;16;2;253;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 102 7MM;40;102;;;;;;;;;102;11628;7MM;OK;OK;OK;0
ATAC 11628 290 7MM;40;290;;;;;;;;;290;11628;7MM;OK;OK;OK;0
ATAC 14163 305 6MM;46;305;;;;;;;;;305;14163;6MM;OK;OK;OK;0
ATAC 14163 170/180 6MM;1 . 52 . 3;170 , 180 , 170;;;;;;;;;170/180;14163;6MM;OK;OK;OK;0
ATAC 11628 056 7MM;40;56;;;;;;;;;56;11628;7MM;OK;OK;OK;0
ATAC 11628 200 7MM;40;200;;;;;;;;;200;11628;7MM;OK;OK;OK;0
ATAC 3000 250 3MM;16;2;250;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 11628 122 7MM;40;122;;;;;;;;;122;11628;7MM;OK;OK;OK;0
ATAC 6ALF 102/100 6MM;1 - 52 - 3;102 , 100 , 102;;;;;;;;;102/100;6ALF;6MM;OK;OK;OK;0
ATAC 3000 126 3MM;16;2;126;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 187 3MM;16;2;187;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
FITA 726 114 10MM;90;114;;;;;;;;;114;726;10MM;OK;OK;OK;0
ATAC 11628 052 7MM;40;52;;;;;;;;;52;11628;7MM;OK;OK;OK;0
ATAC 11628 220 7MM;40;220;;;;;;;;;220;11628;7MM;OK;OK;OK;0
