15;;QUANTIDADE DE FIO NA ESPULA;COR1;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 2;REFERENCIA;;;QUANTIDADE DE ESPULAS;QUANTIDADE DE FIO NA ESPULA;COR 3;Largura;;LARGURA;;
ATAC 14163 321 6MM;46;321;;;;;;;;;321;14163;6MM;OK;OK;OK;0
ATAC 11628 190 7MM;40;190;;;;;;;;;190;11628;7MM;OK;OK;OK;0
ELAST 16410 323 7MM;20;323;;;;;;;;;323;16410;7MM;OK;OK;OK;0
ATAC 6ALF 212/100 6MM;1 . 52 . 3;212 . 100 . 212;;;;;;;;;212/100;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 136/104 6MM;1 . 52 . 3;136 . 104 . 136;;;;;;;;;136/104;6ALF;6MM;OK;OK;OK;0
FITA M32107 278 15MM;100;278;;;;;;;;;278;M32107;15MM;OK;OK;OK;0
ATAC M10046 643 6MM;46;643;;;;;;;;;643;M10046;6MM;OK;OK;OK;0
ATAC M10046 630 6MM;46;630;;;;;;;;;630;M10046;6MM;OK;OK;OK;0
ATAC M10046 577 6MM;46;577;;;;;;;;;577;M10046;6MM;OK;OK;OK;0
ATAC M10046 365 6MM;46;365;;;;;;;;;365;M10046;6MM;OK;OK;OK;0
FITA M32107 643 15MM;100;643;;;;;;;;;643;M32107;15MM;OK;OK;OK;0
FITA M32107 630 15MM;100;630;;;;;;;;;630;M32107;15MM;OK;OK;OK;0
FITA M32107 102 15MM;100;102;;;;;;;;;102;M32107;15MM;OK;OK;OK;0
ATAC M12015 312 8MM;72;312;;;;;;;;;312;M12015;8MM;OK;OK;OK;0
ATAC M21020 481/1P WHITE 8MM;64;481/1;;;;;;;;;481/1;M21020;8MM;OK;OK;OK;0
ATAC M21020 BROWN 04 8MM;64;004/1;;;;;;;;;004/1;M21020;8MM;ERRADO;OK;OK;0
FITA M32107 189 10MM;68;189;;;;;;;;;189;M32107;10MM;OK;OK;OK;0
FITA M32107 189 15MM;100;189;;;;;;;;;189;M32107;15MM;OK;OK;OK;0
ATAC 6AL 452 6MM;46;452;;;;;;;;;452;6AL;6MM;OK;OK;OK;0
FITA M32107 452 10MM;68;452;;;;;;;;;452;M32107;10MM;OK;OK;OK;0
FITA M32107 452 15MM;100;52;;;;;;;;;52;M32107;15MM;OK;OK;OK;0
ATAC 6ALF 020/104 6MM;1 . 52 . 3;020 . 104 . 020;;;;;;;;;020/104;6ALF;6MM;OK;OK;OK;0
ATAC 11628 295 7MM;40;295;;;;;;;;;295;11628;7MM;OK;OK;OK;0
ATAC 11628 170 7MM;40;170;;;;;;;;;170;11628;7MM;OK;OK;OK;0
ATAC M6079 2001 8MM;32;3;2001;;3;;M6079;;;;;;800;;;;0
ATAC M16100 100 4MM;16;3;100;;;;M16100;;;;;;800;360;;;0
ATAC M16100 161 4MM;16;3;161;;;;M16100;;;;;;800;360;;;0
ATAC M3000/6 100/494 4MM;;;;;;;3000/6;;;;;;800;360;;;0
ATAC M3000/6 100/012 4MM;;;;;;;3000/6;;;;;;800;360;;;0
ATAC M6079 MALBEC (ALPINA) 8MM;32;2;MALBEC (ALPINA);;3;;M6079;;;;;;800;;;;0
ATAC M6079 2172 NAVY 8MM;32;2;2172;;3;;M6079;;;;;;800;;;;0
ATAC M6079 JEANS (ALPINA) 8MM;32;2;JEANS (ALPINA);;3;;M6079;;;;;;800;;;;0
ATAC M6079 2000 8MM;32;3;2000;;3;;M6079;;;;;;800;;;;0
ATAC M6079 CARAMELO (ALPINA) 8MM;32;2;CARAMELO (ALPINA);;3;;M6079;;;;;;800;;;;0
ELAST MTM 100 35MM;124;100;;;;;;;;;100;MTM;35mm;OK;OK;OK;0
ELAST MTM 102 35MM;124;102;;;;;;;;;102;MTM;35mm;OK;OK;OK;0
FITA MFP 100 12MM;16;100;;;;;;;;;100;MFP;12MM;OK;OK;OK;0
FITA MFP 161 12MM;16;161;;;;;;;;;161;MFP;12MM;OK;OK;OK;0
FITA MFP 735 NEW NAVY 12MM;16;735;;;;;;;;;735;MFP;12MM;OK;OK;OK;0
FITA MDP 2T 481/1P WHITE 15MM;108;481/1P;;;;;;;;;481/1P;MDP;15MM;OK;OK;OK;0
FITA MDP 2T 161/1P 15MM;108;161/1P;;;;;;;;;161/1P;MDP;15MM;OK;OK;OK;0
FITA MDP 2T JEANS (POLIMP) 15MM;108;JEANS;;;;;;;;;JEANS;MDP;15MM;OK;OK;OK;0
FITA MDP 2T RED (POLIMP) 15MM;108;RED;;;;;;;;;RED;MDP;15MM;OK;OK;OK;0
FITA MDP 2T 873/1P NEW NAVY 15MM;108;873/1P;;;;;;;;;873/1P;MDP;15MM;OK;OK;OK;0
ATAC 3000/6 030/058 4MM;;;;;;;3000/6;;;;;;800;360;;;0
FITA 726 290 15MM;120;290;;;;;;;;;290;726;15MM;OK;OK;OK;0
ELAST 16410 101 7MM;20;101;;;;;;;;;101;16410;7MM;OK;OK;OK;0
FITA 726 248 15MM;120;248;;;;;;;;;248;726;15MM;OK;OK;OK;0
ELAST TR-286 270 2,5MM;16;1;270;;;;TR -268;;;;;;1200;250;;;0
ATACADOR M9030 187 1,5MM;16;1;187;;;187;M9030;1,5MM;1x1;;;;2600;360;;;0
FITA 726 010 15MM;120;10;;;;;;;;;10;726;15MM;OK;OK;OK;0
ATAC 14163 115/321 6MM;1 . 52 . 3;115 , 321 , 115;;;;;;;;;115/321;14163;6MM;OK;OK;OK;0
ATAC 14163 199/295 6MM;1 . 52 . 3;199 , 295 , 199;;;;;;;;;199/295;14163;6MM;OK;OK;OK;0
ATAC 3000/6 056/006 4MM;;;;;;;3000/6;;;;;;800;360;;;0
ATAC M18006 129;16;3;129;16;2;129;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M13475 100;32;2;100;;;;M13475;;2x2;;;;1200;360;;;0
ATAC M13475 278;32;2;278;;;;M13475;;2x2;;;;1200;360;;;0
ATAC M13475 100/316;32;2;100;3;16;316;M13475;;2x2;;;;1200;360;;;0
ATAC M13475 260/079;32;2;260;3;16;79;M13475;;2x2;;;;1200;360;;;0
ATAC M18006 541;16;3;541;16;2;541;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC 14163 214 6MM;46;214;;;;;;;;;214;14163;6MM;OK;OK;OK;0
FITA 726 210 15MM ;120;210;;;;;;;;;210;726;15MM;OK;OK;OK;0
FITA 726 196 15MM;120;196;;;;;;;;;196;726;15MM;OK;OK;OK;0
ATAC 3000/6 100/038 4MM;;;;;;;3000/6;;;;;;800;360;;;0
ATAC M12119 888/1 UNITY INK 6MM;56;888/1;;;;;;;;;888/1;M12119;6MM;OK;OK;OK;0
FITA MFGP 066/102/286 10MM;;;;;;;;;;;066/102/286;MFGP;10MM;OK;OK;OK;0
FITA MFGP 084/066 10MM;14, 14, 18;084 , 066 , 084;;;;;;;;;084/066;MFGP;10MM;OK;OK;OK;0
ATAC 11628 046 7MM;40;6;;;;;;;;;6;11628;7MM;OK;OK;OK;0
FITA 726 030 15MM;120;30;;;;;;;;;30;726;15MM;OK;OK;OK;0
ATAC 14163 176/100 6MM;1 . 52 . 3;176 , 100 , 176;;;;;;;;;176/100;14163;6MM;OK;OK;OK;0
ATAC 14163 174 6MM;46;174;;;;;;;;;174;14163;6MM;OK;OK;OK;0
ATAC 14163 183/248 6MM;1 . 52 . 3;183 , 248 , 183;;;;;;;;;183/248;14163;6MM;OK;OK;OK;0
FITA M32107 180 15MM;100;180;;;;;;;;;180;M32107;15MM;OK;OK;OK;0
FITA M32107 533 15MM;100;533;;;;;;;;;533;M32107;15MM;OK;OK;OK;0
FITA MDP 2T 746/1P 15MM;108;746/1P;;;;;;;;;746/1P;MDP;15MM;OK;OK;OK;0
ATAC M6034 2176 CRYSTAL WHITE 8MM;48;2;2176;;;;M6034;8MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
ATAC M6034 2177 NIGHT CARGO 8MM;48;2;2177;;;;M6034;8MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
ELAST CANELADO 231/1 10MM;44;231/1;;;;;;;;;231/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 870/1 10MM;44;870/1;;;;;;;;;870/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 869/1 10MM;44;869/1;;;;;;;;;869/1;CANELADO ;10MM;OK;OK;OK;0
FITA MDP 052/1P 13MM;90;052/1P;;;;;;;;;052/1P;MDP;13MM;OK;OK;OK;0
ELAST CANELADO 282/1 10MM;44;282/1;;;;;;;;;282/1;CANELADO ;10MM;OK;OK;OK;0
ATAC M6034 LEGEND INK 8MM;48;2;LEGEND INK (ALPINA);;;;M6034;8MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
ATAC M12113 102 8MM;16;2;102;16;3;;;;;;2;M12113;8MM;OK;OK;OK;0
ATAC M12113 100 8MM;16;2;100;16;3;;;;;;2;M12113;8MM;OK;OK;OK;0
ATAC 11628 060 7MM;40;60;;;;;;;;;60;11628;7MM;OK;OK;OK;0
ATAC 11628 035 7MM ;40;35;;;;;;;;;35;11628;7MM;OK;OK;OK;0
FITA 726 253 15MM;120;253;;;;;;;;;253;726;15MM;OK;OK;OK;0
ATAC M13054 290;32;2;290;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 280;32;2;280;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 118;32;2;118;;;;M13054;;;;;;1200;350;Sim;;0
ELAST 16410 086 7MM;20;86;;;;;;;;;86;16410;7MM;OK;OK;OK;0
ELAST 16410 064 7MM;20;64;;;;;;;;;64;16410;7MM;OK;OK;OK;0
ATAC 11628 226 7MM;40;226;;;;;;;;;226;11628;7MM;OK;OK;OK;0
ATAC 11628 334 7MM;40;334;;;;;;;;;334;11628;7MM;OK;OK;OK;0
ATAC 11628 316 7MM;40;316;;;;;;;;;316;11628;7MM;OK;OK;OK;0
FITA M3225 100 13MM;96;100;;;;;;;;;100;M3225;13MM;OK;OK;OK;0
ELAST CANELADO ZW 241/1 10MM;44;241/1;;;;;;;;;241/1;CANELADO ZW;10MM;OK;OK;OK;0
ELAST MER 016 2MM;16;1;16;;;;MER;2MM;;;;;1200;360;;;0
ELAST M2159 140/114 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;140 . 114 . 140 . 114 . 140 . 114 . 140 . 114 . 140 . 114;;;;;;;;;140/114;M2159;7MM;OK;OK;OK;0
ELAST M2159 321/102 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;321 . 102 . 321 . 102 .321 . 102 . 321 . 102 . 321. 102;;;;;;;;;321/102;M2159;7MM;OK;OK;OK;0
ELAST 16410 291 7MM;20;291;;;;;;;;;291;16410;7MM;OK;OK;OK;0
ELAST 16410 262 7MM;20;262;;;;;;;;;262;16410;7MM;OK;OK;OK;0
ELAST 16410 270 7MM;20;270;;;;;;;;;270;16410;7MM;OK;OK;OK;0
ATAC M12103 253/100 8MM;70 . 2;253 - 100;;;;;;;;;253/100;M12103;8MM;OK;OK;OK;0
ATAC M12103 099/494 8MM;70 . 2;99 - 494;;;;;;;;;99/494;M12103;8MM;OK;OK;OK;0
ATAC M12103 494/100 8MM ;70 . 2;494 - 100;;;;;;;;;494/100;M12103;8MM;OK;OK;OK;0
ATAC M13096 100 ;32;2;100;;;;M13096;;2x2;;;100;1200;265;SIM;;0
ATAC M13096 368;32;2;368;;;;M13096;;2x2;;;368;1200;265;SIM;;0
ATAC M13096 312 ;32;2;312;;;;M13096;;2x2;;;312;1200;265;SIM;;0
FITA MDP 867/1P 2T OXIDE 15MM;108;867/1P;;;;;;;;;867/1P;MDP;15MM;OK;OK;OK;0
ATAC M22019 010 HAVANA 8MM;16;2;317;16;3;;;;;;2;M22019;8MM;OK;OK;OK;0
ATAC M22019 079 NEW KAKHI 8MM;16;2;317;16;3;;;;;;2;M22019;8MM;OK;OK;OK;0
FITA MDP 747/1P 2T HAVANA 15MM;108;747/1P;;;;;;;;;747/1P;MDP;15MM;OK;OK;OK;0
ATAC 11628 064 7MM;40;64;;;;;;;;;64;11628;7MM;OK;OK;OK;0
CORDAO M9030 226 1,5MM;16;1;226;;;226;M9030;1,5MM;1x1;;;;2600;360;;;0
CORDAO M9030 310 1,5MM;16;1;310;;;310;M9030;1,5MM;1x1;;;;2600;360;;;0
ELAST M2159 226/334 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;226 . 334 . 226 . 334 . 226 . 334 . 226 . 334 . 226 . 334;;;;;;;;;226/334;M2159;7MM;OK;OK;OK;0
FITA MDP 162/1P 13MM;90;162/1P;;;;;;;;;162/1P;MDP;13MM;OK;OK;OK;0
CORDAO M9030 312 1,5MM;16;1;32;;;312;M9030;1,5MM;1x1;;;;2600;360;;;0
CORDAO M9030 169 1,5MM;16;1;169;;;169;M9030;1,5MM;1x1;;;;2600;360;;;0
CORDAO M9030 200 1,5MM;16;1;200;;;200;M9030;1,5MM;1x1;;;;2600;360;;;0
ELAST 16410 209 7MM;20;209;;;;;;;;;209;16410;7MM;OK;OK;OK;0
ELAST 16410 045 7MM;20;45;;;;;;;;;45;16410;7MM;OK;OK;OK;0
ELAST 16410 051 7MM;20;51;;;;;;;;;51;16410;7MM;OK;OK;OK;0
FITA 726 190 15MM;120;190;;;;;;;;;190;726;15MM;OK;OK;OK;0
CORDAO M9030 248 1,5MM;16;1;248;;;248;M9030;1,5MM;1x1;;;;2600;360;;;0
FITA MDP 291/1P 13MM;90;291/1P;;;;;;;;;291/1P;MDP;13MM;OK;OK;OK;0
ELAST 16410 001 7MM;20;1;;;;;;;;;1;16410;7MM;OK;OK;OK;0
ATAC 3000 246 3MM;16;2;246;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M9022 317 3MM;16;2;317;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
ELAST M2159 102/030 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;102 . 030 . 102 . 030 . 102 . 030 . 102 . 030 . 102 . 030;;;;;;;;;102/030;M2159;7MM;OK;OK;OK;0
ELAST M2159 045/314 7MM;2 . 1 . 2 . 1 . 2 . 1 . 2 . 1 . 2 . 1;045 . 314 . 045 . 314 . 045 . 314 . 045 . 314 . 045 . 314;;;;;;;;;045/314;M2159;7MM;OK;OK;OK;0
ATAC 3000 114 3MM;16;2;114;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 6AL 887 6MM;46;887;;;;;;;;;887;6AL;6MM;OK;OK;OK;0
ATAC 6AL 884 6MM;46;884;;;;;;;;;884;6AL;6MM;OK;OK;OK;0
ATAC M13456 100/612;29;2;100;3;2;612;M13456;5MM;1X1;;;;1200;360;;;0
ATAC M13456 278/441;29;2;278;3;2;441;M13456;5MM;1X1;;;;1200;360;;;0
ATAC M13456 351/356;29;2;351;3;2;356;M13456;5MM;1X1;;;;1200;360;;;0
ATAC M13456 140/078;29;2;140;3;2;78;M13456;5MM;1X1;;;;1200;360;;;0
ATAC M13456 452/100;29;2;452;3;2;100;M13456;5MM;1X1;;;;1200;360;;;0
ELAST MTM 100 25MM;88;100;;;;;;;;;100;MTM;25MM;OK;OK;OK;0
ELAST MTM 278 35MM;124;278;;;;;;;;;278;MTM;35MM;OK;OK;OK;0
ELAST MTM 887 ENGOMADO 40MM;148;887;;;;;;;;;887;MTM;40MM;OK;OK;OK;0
ELAST MTM 884 ENGOMADO 40MM;148;884;;;;;;;;;884;MTM;40MM;OK;OK;OK;0
ELAST MTM 278 ENGOMADO 40MM;148;278;;;;;;;;;278;MTM;40MM;OK;OK;OK;0
FITA M32107 887 12MM ;80;887;;;;;;;;;887;M32107;12MM;OK;OK;OK;0
FITA M32107 884 12MM;80;884;;;;;;;;;884;M32107;12MM;OK;OK;OK;0
FITA M32107 278 12MM;80;278;;;;;;;;;278;M32107;12MM;OK;OK;OK;0
FITA M32107 351 15MM;100;351;;;;;;;;;351;M32107;15MM;OK;OK;OK;0
FITA M32107 140 15MM;100;140;;;;;;;;;140;M32107;15MM;OK;OK;OK;0
FITA MFGP 100 15MM;96;100;;;;;;;;;100;MFGP;15MM;OK;OK;OK;0
FITA MFGP 278 15MM;96;278;;;;;;;;;278;MFGP;15MM;OK;OK;OK;0
ELAST MTM 278 25MM;88;278;;;;;;;;;278;MTM;25MM;OK;OK;OK;0
FITA 726 127 10MM;90;127;;;;;;;;;127;726;10MM;OK;OK;OK;0
FITA 726 135 10MM;90;135;;;;;;;;;135;726;10MM;OK;OK;OK;0
FITA 726 143 10MM;90;143;;;;;;;;;143;726;10MM;OK;OK;OK;0
ATAC M16063 317 4MM;12;4;317;2;2;317;M16063;;;2;1;317;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 800 4MM;12;4;800;2;2;800;M16063;;;2;1;800;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 100/038 4MM;12;4;100;2;2;38;M16063;;;2;1;100;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 108/100 4MM;12;4;108;2;2;100;M16063;;;2;1;108;600;280;CONFERIDO 05/08/2020;;0
ATAC M10046 672 6MM;46;672;;;;;;;;;672;M10046;6MM;OK;OK;OK;0
ATAC M10046 583 6MM;46;583;;;;;;;;;583;M10046;6MM;OK;OK;OK;0
ATAC M13143 100/612;16;2;317;16;3;612;M13143;;;;;;1200;360;;;0
ATAC M13143 100/107;16;2;317;16;3;107;M13143;;;;;;1200;360;;;0
ATAC M13143 100/280;16;2;317;16;3;280;M13143;;;;;;1200;360;;;0
ATAC 6ALF 278/460 6MM;1 . 52 . 3;278 . 460 . 278;;;;;;;;;278/460;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 189/914 6MM;1 . 52 . 3;189 . 914 . 189;;;;;;;;;189/914;6ALF;6MM;OK;OK;OK;0
ATAC M13054 032;32;2;32;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 020;32;2;20;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 066;32;2;66;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 036;32;2;36;;;;M13054;;;;;;1200;350;Sim;;0
ATAC M13054 303;32;2;303;;;;M13054;;;;;;1200;350;Sim;;0
FITA MFGP 303 15MM;96;303;;;;;;;;;303;MFGP;15MM;OK;OK;OK;0
FITA MFGP 267 15MM;96;267;;;;;;;;;267;MFGP;15MM;OK;OK;OK;0
ATAC M13054 267;32;2;267;;;;M13054;;;;;;1200;350;Sim;;0
ELAST CANELADO 291/1 10MM;44;291/1;;;;;;;;;291/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 255/1 10MM;44;255/1;;;;;;;;;255/1;CANELADO ;10MM;OK;OK;OK;0
ELAST CANELADO 339/1 10MM;44;339/1;;;;;;;;;339/1;CANELADO ;10MM;OK;OK;OK;0
ELAST TR-286 253 2,5MM;16;1;253;;;;TR -268;;;;;;1200;250;;;0
ELAST 16410 226 7MM;20;226;;;;;;;;;226;16410;7MM;OK;OK;OK;0
ELAST MER 001 2MM;16;1;1;;;;MER;2MM;;;;;1200;360;;;0
ELAST MER 321 2MM;16;1;321;;;;MER;2MM;;;;;1200;360;;;0
ELAST MER 253 2MM;16;1;253;;;;MER;2MM;;;;;1200;360;;;0
ELAST TR-286 001 2,5MM;16;1;1;;;;TR -268;;;;;;1200;250;;;0
FITA 726 289 15MM;120;289;;;;;;;;;289;726;15MM;OK;OK;OK;0
FITA 726 310 15MM;120;310;;;;;;;;;310;726;15MM;OK;OK;OK;0
ATAC M10046 468 6MM;46;468;;;;;;;;;468;M10046;6MM;OK;OK;OK;0
ATAC M12020 100 9MM;104;100;;;;;;;;;100;M12020;9MM;OK;OK;OK;0
ATAC M12020 567 9MM;104;567;;;;;;;;;567;M12020;9MM;OK;OK;OK;0
ATAC M12020 104 9MM;104;104;;;;;;;;;104;M12020;9MM;OK;OK;OK;0
ATAC M12020 005 9MM;104;5;;;;;;;;;5;M12020;9MM;OK;OK;OK;0
CORDAO M9030 170 1,5MM;16;1;170;;;170;M9030;1,5MM;1x1;;;;2600;360;;;0
FITA MFGP 253 12MM;76;253;;;;;;;;;253;MFGP;12MM;OK;OK;OK;0
FITA MFGP 248 12MM;76;248;;;;;;;;;248;MFGP;12MM;OK;OK;OK;0
ATAC 11628 310 7MM;40;310;;;;;;;;;310;11628;7MM;OK;OK;OK;0
ATAC 11628 611 7MM;40;611;;;;;;;;;611;11628;7MM;OK;OK;OK;0
ATAC 11628 312 7MM;40;312;;;;;;;;;312;11628;7MM;OK;OK;OK;0
ATAC 3000 310 3MM;16;2;310;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 290 3MM;16;2;290;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 14163 048 6MM;46;48;;;;;;;;;48;14163;6MM;OK;OK;OK;0
ATAC 14163 226 6MM;46;226;;;;;;;;;226;14163;6MM;OK;OK;OK;0
ATAC 14163 064 6MM;46;64;;;;;;;;;64;14163;6MM;OK;OK;OK;0
ATAC 14163 310 6MM;46;310;;;;;;;;;310;14163;6MM;OK;OK;OK;0
FITA 726 146 10MM;90;146;;;;;;;;;146;726;10MM;OK;OK;OK;0
FITA 726 064 15MM;120;64;;;;;;;;;64;726;15MM;OK;OK;OK;0
ELAST MTM 321 30MM;;;;;;;;;;;0;MTM;30MM;OK;OK;OK;0
ATAC M12108 134/1P/LX PRATA 8MM;16;2;317;16;3;;;;;;134/1/LX PRATA;M12108;8MM;ERRADO;OK;OK;0
ATAC M12108 101/1P/LX PRATA 8MM;16;2;317;16;3;;;;;;101/1P/LX PRATA;M12108;8MM;OK;OK;OK;0
ATAC 6AL 024 6MM;46;24;;;;;;;;;24;6AL;6MM;OK;OK;OK;0
ATAC 6AL 886 6MM;46;886;;;;;;;;;886;6AL;6MM;OK;OK;OK;0
ATAC 6AL 140 6MM;46;140;;;;;;;;;140;6AL;6MM;OK;OK;OK;0
ELAST MTM 024 ENGOMADO 40MM;148;24;;;;;;;;;24;MTM;40MM;OK;OK;OK;0
ELAST MTM 140 ENGOMADO 40MM;148;140;;;;;;;;;140;MTM;40MM;OK;OK;OK;0
FITA M32107 024 12MM;80;24;;;;;;;;;24;M32107;12MM;OK;OK;OK;0
FITA M32107 140 12MM;80;140;;;;;;;;;140;M32107;12MM;OK;OK;OK;0
FITA MFGP 886 15MM;96;886;;;;;;;;;886;MFGP;15MM;OK;OK;OK;0
FITA M41409 134/1P/NYLON 015 14MM;28;134/1P;81;NYLON;;;;;;;134/1P/NYLON 015;M41409;14MM;OK;OK;OK;0
FITA M41409 481/1P/NYLON 015 14MM;28;481/1P;81;NYLON;;;;;;;481/1P/NYLON 015;M41409;14MM;OK;OK;OK;0
FITA MDP 935/1P 13MM;90;935/1P;;;;;;;;;935/1P;MDP;13MM;OK;OK;OK;0
ATAC M18006 045 ;16;3;45;16;2;45;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ELAST MTM 611 30MM;;;;;;;;;;;0;MTM;30MM;OK;OK;OK;0
ELAST MTM 290 30MM;;;;;;;;;;;0;MTM;30MM;OK;OK;OK;0
ATAC 14163 182 6MM;46;182;;;;;;;;;182;14163;6MM;OK;OK;OK;0
ELAST MER 100 2MM;16;1;100;;;;MER;2MM;;;;;1200;360;;;0
ATAC 6ALF 100/365 6MM;1 . 52 . 3;100 . 365 . 100;;;;;;;;;100/365;6ALF;6MM;OK;OK;OK;0
ATAC M18006 252;16;3;252;16;2;252;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M18006 248;16;3;248;16;2;248;M18006;;;;;;1000;418;CONFERIDO 17/07/2020;;0
ATAC M6034 2203 OFF WHITE 8MM;48;2;2203;;;;M6034;8MM;1x1;;;;1200;326;CONFERIDO 17/07/2020;;0
ELAST 16410 053 7MM;20;53;;;;;;;;;53;16410;7MM;OK;OK;OK;0
ELAST 16410 024 7MM;20;24;;;;;;;;;24;16410;7MM;OK;OK;OK;0
FITA 726 321 15MM;120;321;;;;;;;;;321;726;15MM;OK;OK;OK;0
FITA 726 024 15MM;120;24;;;;;;;;;24;726;15MM;OK;OK;OK;0
FITA 726 053 15MM;120;53;;;;;;;;;53;726;15MM;OK;OK;OK;0
FITA 726 226 15MM;120;226;;;;;;;;;226;726;15MM;OK;OK;OK;0
ATAC 3000 012 3MM;16;2;12;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC 3000 317 3MM;16;2;317;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M13458 100/280 5MM;16;2;100;16;3;280;M13458;;;;;;1200;360;;;0
FITA 726 030 10MM;90;30;;;;;;;;;30;726;10MM;OK;OK;OK;0
FITA 726 169 10MM;90;169;;;;;;;;;169;726;10MM;OK;OK;OK;0
FITA 726 130 10MM;90;130;;;;;;;;;130;726;10MM;OK;OK;OK;0
FITA 726 059 15MM;120;59;;;;;;;;;59;726;15MM;OK;OK;OK;0
ELAST MTM 321 24MM;60;321;;;;;;;;;321;MTM;24MM;OK;OK;OK;0
ELAST MTM 100 24MM;60;100;;;;;;;;;100;MTM;24MM;OK;OK;OK;0
ELAST MTM 310 24MM;60;310;;;;;;;;;310;MTM;24MM;OK;OK;OK;0
ATAC M22024 210 6MM;16;2;317;16;3;;;;;;2;M22024;6MM;OK;OK;OK;0
ATAC M22024 078 6MM;16;2;317;16;3;;;;;;2;M22024;6MM;OK;OK;OK;0
ELAST CANELADO 187/1 10MM;44;187/1;;;;;;;;;187/1;CANELADO ;10MM;OK;OK;OK;0
ATAC M13139 100;16;2;100;16;3;;M13139;;;;;;1200;360;;;0
FITA MFGP 189 15MM;96;189;;;;;;;;;189;MFGP;15MM;OK;OK;OK;0
ATAC 11628 286 7MM;40;286;;;;;;;;;286;11628;7MM;OK;OK;OK;0
ATAC M9022 077 3MM;16;2;77;16;3;;M9022;;;;;M9022;1200;360;3MM;;0
FITA 726 303 10MM;90;303;;;;;;;;;303;726;10MM;OK;OK;OK;0
ATAC 6ALF 104/947 6MM;1 . 52 . 3;104 . 947 . 104;;;;;;;;;104/947;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 740/100 6MM;1 . 52 . 3;740 . 100 . 740;;;;;;;;;740/100;6ALF;6MM;OK;OK;OK;0
ATAC 6ALF 740/951 6MM;1 . 52 . 3;740 . 951 . 740;;;;;;;;;740/951;6ALF;6MM;OK;OK;OK;0
FITA MDP 834/1P 13MM;90;834/1P;;;;;;;;;834/1P;MDP;13MM;OK;OK;OK;0
ATAC 11628 071 7MM;40;71;;;;;;;;;71;11628;7MM;OK;OK;OK;0
ATAC M22024 100 6MM;16;2;317;16;3;;;;;;2;M22024;6MM;OK;OK;OK;0
ATAC M9022 021 3MM;16;2;21;16;3;;M9022;;;;56;M9022;1200;360;3MM;;0
ATAC 3000 229 3MM;16;2;229;;;;3000;;;;;;1200;570;CONFERIDO 05/08/2020;;0
ATAC M16063 494;12;4;494;2;2;494;M16063;;;2;1;494;600;280;CONFERIDO 05/08/2020;;0
ATAC M16063 102;12;4;102;2;2;102;M16063;;;2;1;102;600;280;CONFERIDO 05/08/2020;;0
FITA M3118 100 15MM;128;100;;;;;;;;;100;M3118;15MM;OK;OK;OK;0
FITA M3118 612 15MM;128;612;;;;;;;;;612;M3118;15MM;OK;OK;OK;0
FITA M3118 513 15MM;128;513;;;;;;;;;513;M3118;15MM;OK;OK;OK;0
ATAC 11628 001 7MM;40;1;;;;;;;;;1;11628;7MM;OK;OK;OK;0
ATAC 11628 130 7MM;40;130;;;;;;;;;130;11628;7MM;OK;OK;OK;0
