aba;aplica_a;tipo;formula1;formula2;cor_fundo
DADOS DOS PRODUTOS;O948:Q948;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O948,Q948;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O948;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O948:Q950,P944:Q947;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q944:Q950,O948:O950;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P944:Q946,Q942:Q943;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P944,P939:P940;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O956:Q956;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1008:P1008;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1008;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1005,O1008;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1014:P1014;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1014;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1012;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1056;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1056:P1056;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1607:Q1607;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1607;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1607:P1607;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1607:Q1607;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1607:Q1610,P1609:Q1611;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1607:P1611;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1607:P1610,P1609:P1611;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1607:Q1611;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1604:Q1608;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1604:P1608;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1604:P1608;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1604:Q1608;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1618:Q1621,P1620:Q1623;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1638:P1640,P1635:P1639;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1468:Q1468;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P1468:Q1468;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O1468:Q1471;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O856:O862,O905,O911,O913:O917,O898:O902,O866:O896;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O856:P862,O905:P905,O911:P911,O913:P917,O898:P902,O866:P896,P903:P904,P906:P910,P912;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O856:Q862,O905:Q905,O911:Q911,O913:Q917,O898:Q902,Q897,O866:Q896,Q863:Q865,P903:Q904,P906:Q910,P912:Q912;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;P856:Q862,Q897,P866:Q896,Q863:Q865,P898:Q917;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;Q856:Q917;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O923;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O923:P923;valor da celula;"=""ERRADO""";;RGB 255
DADOS DOS PRODUTOS;O530:P530;valor da celula;"=""ERRADO""";;RGB 255
